date,main_1,main_2,main_3,main_4,main_5,main_6,noroc
1999-09-19,19,22,26,33,37,47,
1999-10-03,3,13,19,28,33,42,
1999-10-17,5,9,15,33,45,48,
1999-10-31,5,11,27,34,38,47,
1999-11-14,6,18,20,25,43,47,
1999-11-28,10,11,29,31,35,39,
1999-12-12,16,18,24,26,38,39,
1999-12-26,4,12,30,32,33,41,
2000-01-09,13,17,29,33,39,41,
2000-01-23,2,6,17,29,41,46,
2000-02-06,6,8,12,20,29,42,
2000-02-20,5,6,11,23,44,45,
2000-03-05,7,8,17,23,28,48,
2000-03-19,21,23,37,42,47,48,
2000-04-02,5,10,18,25,27,35,
2000-04-16,3,7,28,30,34,43,
2000-04-30,1,19,30,31,33,41,
2000-05-14,3,4,5,27,37,41,
2000-05-28,6,12,17,37,46,47,
2000-06-11,7,21,24,25,36,45,
2000-06-25,3,4,13,31,34,49,
2000-07-09,3,4,11,16,27,45,
2000-07-23,2,4,14,20,23,43,
2000-08-06,9,11,12,18,29,49,
2000-08-20,2,8,10,25,34,35,
2000-09-03,2,3,11,22,33,34,
2000-09-17,4,11,12,17,26,47,
2000-10-01,9,15,23,24,33,47,
2000-10-15,4,8,9,11,13,27,
2000-10-29,7,9,29,33,34,44,
2000-11-12,6,20,21,32,37,44,
2000-11-26,6,25,36,38,46,47,
2000-12-10,10,17,19,36,45,47,
2000-12-24,9,13,15,16,17,34,
2001-01-07,9,18,20,39,45,47,
2001-01-21,13,14,19,26,32,40,
2001-02-04,14,21,24,36,39,43,
2001-02-18,4,6,19,29,32,34,
2001-03-04,8,16,19,27,38,40,
2001-03-18,1,2,9,22,36,41,
2001-04-01,15,16,30,32,43,48,
2001-04-15,5,6,8,9,34,44,
2001-04-29,10,12,30,38,41,46,
2001-05-13,3,24,26,32,33,37,
2001-05-27,9,19,28,29,38,47,
2001-06-10,16,17,19,22,33,42,
2001-06-24,3,41,43,44,46,48,
2001-07-08,8,18,21,22,23,42,
2001-07-22,13,19,22,30,40,42,
2001-08-05,13,22,30,32,43,49,
2001-08-19,23,33,34,35,41,47,
2001-09-02,1,2,3,13,25,42,
2001-09-16,15,23,26,29,39,41,
2001-09-30,15,35,37,39,40,47,
2001-10-14,20,27,31,42,44,45,
2001-10-28,18,28,33,35,39,41,
2001-11-11,1,2,23,33,37,40,
2001-11-25,22,30,33,39,40,49,
2001-12-09,2,4,22,24,40,46,
2001-12-23,1,2,8,22,29,40,
2002-01-02,6,14,18,28,29,47,
2002-01-13,10,31,33,41,43,45,
2002-01-27,5,13,15,35,47,49,
2002-02-10,14,32,36,39,42,43,
2002-02-24,6,17,27,30,32,36,
2002-03-10,7,11,14,22,27,41,
2002-03-24,10,21,24,36,37,44,
2002-04-07,4,13,29,39,44,47,
2002-04-21,1,2,21,22,25,49,
