date,main_1,main_2,main_3,main_4,main_5,joker,noroc_plus
2012-06-10,3,17,35,37,45,15,
2012-06-17,14,37,40,44,45,11,
2012-06-24,16,18,20,40,45,15,
2012-07-01,1,17,19,29,38,12,
2012-07-08,5,8,13,15,23,12,
2012-07-15,22,32,41,43,44,8,
2012-07-22,4,6,23,26,37,3,
2012-07-29,1,4,5,17,45,18,
2012-08-05,1,2,11,30,34,12,
2012-08-12,5,17,19,21,45,1,
2012-08-19,3,7,15,23,35,4,
2012-08-26,8,16,27,37,42,11,
2012-09-02,18,23,34,35,42,15,
2012-09-09,3,12,13,22,33,7,
2012-09-16,1,3,10,29,35,1,
2012-09-23,4,9,10,18,38,1,
2012-09-30,5,8,14,22,28,1,
2012-10-07,3,7,8,25,39,15,
2012-10-14,3,20,33,35,37,7,
2012-10-21,18,22,25,26,32,12,
2012-10-28,5,16,21,36,41,10,
2012-11-04,26,33,34,35,40,16,
2012-11-11,5,8,17,20,33,4,
2012-11-18,1,17,23,36,39,14,
2012-11-25,15,24,29,30,43,10,
2012-12-02,8,22,29,33,37,20,
2012-12-09,16,18,37,39,43,19,
2012-12-16,17,26,36,37,44,2,
2012-12-23,6,29,38,43,44,15,
2012-12-30,2,16,22,33,39,18,
2013-01-06,21,27,32,34,35,9,
2013-01-13,4,29,33,38,39,3,
2013-01-20,14,17,18,32,38,16,
2013-01-27,9,17,35,40,42,13,
2013-02-03,4,8,9,13,35,5,
2013-02-10,5,18,28,29,42,11,
2013-02-17,2,11,38,42,45,1,
2013-02-24,4,15,32,38,40,4,
2013-03-03,12,19,28,36,45,17,
2013-03-10,5,23,33,40,41,6,
2013-03-17,8,19,23,27,43,20,
2013-03-24,6,9,10,30,44,3,
2013-03-31,15,19,39,41,45,18,
2013-04-07,4,9,13,18,27,1,
2013-04-14,9,14,16,17,30,14,
2013-04-21,1,4,28,36,41,15,
2013-04-28,2,10,11,12,43,15,
2013-05-05,3,27,33,38,44,17,
2013-05-12,3,5,23,33,39,7,
2013-05-19,6,10,30,32,42,11,
2013-05-26,7,17,21,36,41,7,
2013-06-02,7,11,18,31,39,15,
2013-06-09,11,28,30,35,37,10,
2013-06-16,17,25,31,33,41,15,
2013-06-23,1,13,14,19,29,13,
2013-06-30,6,21,26,44,45,1,
2013-07-07,3,4,8,16,20,5,
2013-07-14,8,17,28,37,38,2,
2013-07-21,13,25,31,43,45,3,
2013-07-28,8,11,27,31,32,13,
2013-08-04,9,13,19,29,39,20,
2013-08-11,11,20,23,43,45,7,
2013-08-18,3,15,29,32,42,5,
2013-08-25,6,17,31,37,42,12,
2013-09-01,1,5,6,13,37,18,
2013-09-08,32,33,36,37,42,3,
2013-09-15,9,14,32,36,43,9,
2013-09-22,4,9,12,24,32,16,
2013-09-29,13,27,38,40,44,17,
2013-10-06,14,29,33,35,39,4,
2013-10-13,8,10,19,30,36,9,
2013-10-20,14,25,39,44,45,20,
2013-10-27,2,3,10,32,34,7,
2013-11-03,1,8,26,27,34,3,
2013-11-10,19,21,24,28,29,8,
2013-11-17,19,25,36,40,44,20,
2013-11-24,7,12,39,40,44,17,
2013-12-01,23,29,36,37,38,6,
2013-12-08,1,2,9,18,45,4,
2013-12-15,4,10,24,29,39,19,
2013-12-22,5,8,14,18,43,20,
2013-12-30,8,23,40,42,43,19,
2014-01-05,2,28,30,37,45,16,
2014-01-12,10,21,25,36,42,2,
2014-01-19,2,9,11,16,40,10,
2014-01-26,1,4,10,20,23,9,
2014-02-02,7,10,17,29,45,5,
2014-02-09,5,10,24,25,29,13,
2014-02-16,19,21,30,31,34,7,
2014-02-23,1,11,13,24,39,5,
2014-03-02,19,24,27,32,45,11,
2014-03-09,20,38,39,41,45,2,
2014-03-16,22,32,35,38,45,17,
2014-03-23,19,23,31,34,43,6,
2014-03-30,16,20,26,38,44,15,
2014-04-06,4,15,18,43,45,2,
2014-04-13,16,27,29,32,39,20,
2014-04-20,9,10,16,22,23,1,
2014-04-27,4,17,37,42,44,2,
2014-05-04,15,25,28,37,42,12,
2014-05-11,1,16,26,30,40,3,
2014-05-18,14,20,26,27,41,16,
2014-05-25,1,24,38,42,45,10,
2014-06-01,2,3,4,7,30,4,
2014-06-08,33,35,36,40,45,5,
2014-06-15,19,20,22,25,35,12,
2014-06-22,7,31,33,34,45,13,
2014-06-29,3,13,15,30,45,18,
2014-07-06,1,4,22,28,33,10,
2014-07-13,6,7,8,20,42,10,
2014-07-20,1,8,21,37,43,9,
2014-07-27,5,15,23,24,44,3,
2014-08-03,21,23,34,36,40,20,
2014-08-10,10,14,21,35,42,12,
2014-08-17,4,31,35,42,44,3,
2014-08-24,4,11,17,44,45,8,
2014-08-31,4,22,27,29,41,9,
2014-09-07,8,12,14,31,40,17,
2014-09-14,15,25,27,38,43,6,
2014-09-21,4,10,17,33,34,2,
2014-09-28,15,23,32,37,40,14,
2014-10-05,5,7,19,37,42,18,
2014-10-12,1,7,26,27,37,14,
2014-10-19,12,25,29,41,44,2,
2014-10-26,1,9,30,40,43,18,
2014-11-02,5,10,23,28,40,5,
2014-11-09,15,25,40,43,45,11,
2014-11-16,9,21,29,35,41,13,
2014-11-23,14,18,25,29,36,4,
2014-11-30,2,5,8,24,26,7,
2014-12-07,9,13,22,28,32,7,
2014-12-14,6,9,11,13,29,14,
2014-12-21,13,21,23,43,45,1,
2014-12-30,8,11,27,32,34,14,
2015-01-11,2,29,30,40,44,12,
2015-01-18,6,8,9,12,17,2,
2015-01-25,1,3,23,30,38,5,
2015-02-01,14,17,27,39,42,5,
2015-02-08,1,3,16,21,45,12,
2015-02-15,4,15,16,42,43,20,
2015-02-22,1,9,29,40,44,16,
2015-03-01,20,22,32,38,41,11,
2015-03-05,1,2,22,34,39,2,
2015-03-12,13,28,30,32,40,4,
2015-03-19,2,15,19,20,38,18,
2015-03-26,12,14,19,22,40,20,
2015-04-02,4,6,17,20,42,18,
2015-04-09,2,17,19,22,29,13,
2015-04-12,8,20,26,37,44,5,
2015-04-19,4,14,24,36,38,8,
2015-04-26,4,16,24,26,41,19,
2015-05-03,9,14,21,27,32,20,
2015-05-10,2,4,29,30,33,2,
2015-05-17,16,19,21,33,42,2,
2015-05-24,5,16,41,44,45,9,
2015-05-31,10,14,29,31,36,18,
2015-06-07,3,6,26,28,31,1,
2015-06-14,1,5,11,18,20,4,
2015-06-21,4,8,17,37,39,1,
2015-06-28,12,17,22,28,33,10,
2015-07-05,4,17,18,29,32,1,
2015-07-12,5,22,28,39,41,2,
2015-07-19,3,12,16,22,38,3,
2015-07-26,2,5,17,22,36,14,
2015-08-02,6,10,29,31,41,20,
2015-08-09,11,14,24,43,45,9,
2015-08-16,7,8,16,24,44,7,
2015-08-23,3,4,10,21,25,14,
2015-08-30,1,24,25,39,42,19,
2015-09-06,1,8,15,17,38,3,
2015-09-13,3,6,24,33,45,14,
2015-09-20,7,10,11,28,30,16,
2015-09-27,20,26,27,34,35,7,
2015-10-04,9,16,25,29,38,9,
2015-10-11,8,12,26,39,44,12,
2015-10-18,6,10,13,15,31,5,
2015-10-25,17,20,21,44,45,15,
2015-11-01,14,16,17,20,45,9,
2015-11-08,15,17,24,36,38,1,
2015-11-15,5,14,21,32,34,7,
2015-11-22,1,10,11,12,15,14,
2015-11-29,7,9,10,16,33,18,
2015-12-06,4,16,18,29,31,14,
2015-12-13,6,22,34,35,44,7,
2015-12-20,16,17,33,36,45,11,
2015-12-30,1,2,3,4,40,13,
2016-01-10,25,28,35,37,41,2,
2016-01-17,5,18,20,26,38,16,
2016-01-24,8,24,27,32,44,20,
2016-01-31,13,18,20,23,24,7,
2016-02-07,4,8,11,12,18,5,
2016-02-14,20,24,34,35,43,20,
2016-02-21,1,11,24,39,42,17,
2016-02-28,16,17,20,27,30,11,
2016-03-06,8,19,22,26,35,18,
2016-03-10,6,19,36,39,44,17,
2016-03-17,1,7,38,39,40,20,
2016-03-24,2,9,27,32,40,2,
2016-03-31,8,27,32,33,45,1,
2016-04-07,18,21,27,33,45,1,
2016-04-14,6,24,28,35,36,20,
2016-04-21,10,19,23,26,39,15,
2016-05-01,11,16,17,20,42,2,
2016-05-08,7,11,34,37,41,6,
2016-05-15,13,31,35,37,41,1,
2016-05-22,17,34,35,37,38,11,
2016-05-29,6,10,11,18,36,7,
2016-06-05,3,23,28,36,45,5,
2016-06-12,3,6,21,40,45,2,
2016-06-19,2,10,16,19,41,9,
2016-06-26,7,11,17,20,40,10,
2016-07-03,4,17,29,41,43,14,
2016-07-10,6,7,31,36,38,12,
2016-07-17,14,22,28,36,42,9,
2016-07-24,4,12,32,33,45,19,
2016-07-31,2,5,8,42,45,16,
2016-08-07,15,16,24,33,41,5,
2016-08-14,11,19,21,34,35,9,
2016-08-21,3,4,8,20,32,6,
2016-08-28,6,16,20,23,27,3,
2016-09-04,4,18,23,24,32,16,
2016-09-11,2,24,31,34,43,2,
2016-09-18,20,22,23,24,40,11,
2016-09-22,12,13,16,25,39,6,
2016-09-29,3,10,13,24,31,5,
2016-10-06,1,16,22,39,45,5,
2016-10-13,1,2,16,38,43,1,
2016-10-20,18,22,23,34,39,4,
2016-10-27,9,20,24,30,39,14,
2016-11-03,2,5,31,32,43,10,
2016-11-10,7,9,11,35,43,2,
2016-11-17,7,8,11,18,29,12,
2016-11-24,2,5,17,25,39,1,
2016-12-04,21,22,29,41,45,3,
2016-12-11,3,5,6,9,15,1,
2016-12-18,1,2,12,31,41,17,
2016-12-31,17,24,31,34,36,7,
2017-01-05,7,12,31,38,42,10,
2017-01-12,5,6,7,22,44,13,
2017-01-19,2,15,41,43,44,20,
2017-01-26,7,21,23,28,34,15,
2017-02-02,15,16,20,31,38,14,
2017-02-09,9,10,12,21,33,5,
2017-02-16,10,20,27,37,41,18,
2017-02-23,4,10,13,23,39,8,
2017-03-02,9,16,27,30,31,6,
2017-03-09,3,5,30,33,45,20,
2017-03-16,16,34,37,39,42,4,
2017-03-23,4,6,21,30,35,11,
2017-03-30,24,28,39,40,42,8,
2017-04-06,20,21,25,28,43,5,
2017-04-16,12,15,22,31,41,7,
2017-04-23,8,12,15,25,30,8,
2017-04-30,4,26,28,31,40,5,
2017-05-07,15,23,33,38,41,6,
2017-05-14,5,10,15,16,37,4,
2017-05-21,12,18,19,39,42,6,
2017-05-28,14,27,28,34,40,17,
2017-06-04,5,6,15,31,45,8,
2017-06-11,26,30,33,36,44,1,
2017-06-18,1,25,37,38,40,11,
2017-06-25,2,20,22,31,40,19,
2017-07-02,2,9,13,15,45,7,
2017-07-09,7,20,26,37,42,10,
2017-07-16,10,21,34,35,45,2,
2017-07-23,6,16,20,37,39,16,
2017-07-30,4,15,19,33,38,16,
2017-08-06,4,21,23,32,40,9,
2017-08-13,6,14,19,31,40,10,
2017-08-20,14,23,38,40,44,18,
2017-08-27,15,18,24,29,39,5,
2017-09-03,12,20,31,36,45,5,
2017-09-10,10,16,22,31,40,9,
